wellid,Line,X,Y,elevation,depth
1.0,100102.0,260790.8,4009282.5,65.7,588.6000000000001
2.0,100102.0,260915.5,4009516.8,65.7,588.6000000000001
3.0,100102.0,261030.7,4009751.5,65.9,588.6000000000001
4.0,100102.0,261148.9,4009974.2,66.2,588.6000000000001
5.0,100102.0,261348.2,4010350.0,66.5,588.6000000000001
6.0,100102.0,261729.6,4011042.0,66.6,588.6000000000001
7.0,100102.0,261850.9,4011270.0,66.6,588.6000000000001
8.0,100102.0,262125.1,4011748.0,67.0,588.6000000000001
9.0,100102.0,262549.5,4012575.0,66.7,588.6000000000001
10.0,100102.0,262675.3,4012804.5,66.6,588.6000000000001
11.0,100102.0,262800.0,4013025.2,67.7,588.6000000000001
12.0,100102.0,262917.8,4013242.8,68.1,588.6000000000001
13.0,100102.0,263199.0,4013724.0,69.5,588.6000000000001
14.0,100102.0,263473.4,4014151.2,69.4,588.6000000000001
15.0,100102.0,263615.8,4014370.0,69.6,588.6000000000001
16.0,100102.0,263911.0,4014835.8,69.9,588.6000000000001
17.0,100102.0,264051.1,4015063.8,70.2,588.6000000000001
18.0,100102.0,264427.3,4015617.5,70.8,588.6000000000001
19.0,100102.0,264569.4,4015843.0,71.0,588.6000000000001
20.0,100102.0,265147.5,4016745.5,72.1,588.6000000000001
21.0,100102.0,265358.0,4017289.5,72.0,588.6000000000001
22.0,100102.0,265422.2,4017528.2,72.3,588.6000000000001
23.0,100102.0,265524.1,4017758.0,72.5,588.6000000000001
24.0,100102.0,265625.4,4017985.2,72.6,588.6000000000001
25.0,100102.0,265723.9,4018203.8,72.6,588.6000000000001
26.0,100102.0,265834.8,4018427.2,72.5,588.6000000000001
27.0,100102.0,266029.0,4018964.2,73.1,588.6000000000001
28.0,100102.0,266106.8,4019198.2,73.5,588.6000000000001
29.0,100102.0,266193.7,4019435.8,73.8,588.6000000000001
30.0,100201.0,280233.5,4035778.8,86.5,588.6000000000001
31.0,100201.0,280125.3,4035561.8,86.3,588.6000000000001
32.0,100201.0,280011.5,4035345.0,86.2,588.6000000000001
33.0,100201.0,279611.6,4034544.8,84.7,588.6000000000001
34.0,100201.0,279378.2,4034081.8,84.6,588.6000000000001
35.0,100201.0,279208.5,4033906.0,84.6,588.6000000000001
36.0,100201.0,279117.0,4033694.0,84.3,588.6000000000001
37.0,100201.0,279042.1,4033490.2,84.2,588.6000000000001
38.0,100203.0,278801.9,4033040.5,83.7,588.6000000000001
39.0,100203.0,278721.5,4032907.2,83.3,588.6000000000001
40.0,100203.0,278574.0,4032773.5,83.1,588.6000000000001
41.0,100203.0,278252.9,4032397.5,82.9,588.6000000000001
42.0,100203.0,277933.6,4031939.5,82.3,588.6000000000001
43.0,100203.0,277783.5,4031728.0,82.2,588.6000000000001
44.0,100203.0,277632.3,4031515.0,81.9,588.6000000000001
45.0,100203.0,277271.0,4031000.5,81.7,588.6000000000001
46.0,100203.0,277129.6,4030795.2,81.6,588.6000000000001
47.0,100203.0,276988.5,4030587.2,80.6,588.6000000000001
48.0,100203.0,276840.6,4030374.2,80.4,588.6000000000001
49.0,100203.0,276691.2,4030166.5,80.7,588.6000000000001
50.0,100203.0,276549.1,4029956.2,80.7,588.6000000000001
51.0,100203.0,276407.1,4029750.5,80.6,588.6000000000001
52.0,100203.0,276290.9,4029528.0,80.1,588.6000000000001
53.0,100203.0,276169.7,4029305.0,80.1,588.6000000000001
54.0,100203.0,276050.5,4029072.5,80.1,588.6000000000001
55.0,100203.0,275925.0,4028842.5,80.1,588.6000000000001
56.0,100203.0,275811.4,4028615.8,80.1,588.6000000000001
57.0,100203.0,275697.4,4028388.8,80.1,588.6000000000001
58.0,100203.0,275347.5,4027726.8,79.0,588.6000000000001
59.0,100203.0,275123.2,4027308.0,78.9,588.6000000000001
60.0,100203.0,274853.6,4026837.0,79.3,588.6000000000001
61.0,100203.0,274573.6,4026343.5,78.7,588.6000000000001
62.0,100203.0,274446.7,4026113.2,78.1,588.6000000000001
63.0,100203.0,274320.2,4025888.2,77.2,588.6000000000001
64.0,100203.0,274080.8,4025491.0,77.6,588.6000000000001
65.0,100203.0,273913.8,4025300.2,77.9,588.6000000000001
66.0,100203.0,273721.0,4025152.5,77.8,588.6000000000001
67.0,100203.0,273255.5,4024547.0,77.1,588.6000000000001
68.0,100203.0,273109.2,4024339.8,76.6,588.6000000000001
69.0,100203.0,272976.8,4024130.8,77.0,588.6000000000001
70.0,100203.0,272874.6,4023900.5,77.0,588.6000000000001
71.0,100203.0,272518.6,4022890.2,75.7,588.6000000000001
72.0,100203.0,272488.5,4022664.2,75.6,588.6000000000001
73.0,100203.0,272421.6,4022450.2,75.8,588.6000000000001
74.0,100203.0,272207.8,4022008.8,75.5,588.6000000000001
75.0,100203.0,271965.6,4021567.2,75.6,588.6000000000001
76.0,100203.0,271859.6,4021352.0,75.5,588.6000000000001
77.0,100203.0,271736.7,4021137.5,74.5,588.6000000000001
78.0,100203.0,271613.9,4020913.0,74.6,588.6000000000001
79.0,100203.0,271488.8,4020690.0,75.4,588.6000000000001
80.0,100203.0,271370.4,4020455.2,74.7,588.6000000000001
81.0,100203.0,271238.3,4020228.2,74.0,588.6000000000001
82.0,100203.0,270965.2,4019734.0,74.5,588.6000000000001
83.0,100203.0,270853.7,4019506.8,73.5,588.6000000000001
84.0,100203.0,270728.9,4019287.8,74.5,588.6000000000001
85.0,100203.0,270596.8,4019077.2,74.3,588.6000000000001
86.0,100203.0,270487.1,4018850.5,74.5,588.6000000000001
87.0,100203.0,270364.6,4018625.8,74.5,588.6000000000001
88.0,100203.0,270241.0,4018402.5,74.2,588.6000000000001
89.0,100203.0,270109.1,4018176.2,74.1,588.6000000000001
90.0,100203.0,269983.1,4017948.5,74.0,588.6000000000001
91.0,100203.0,269861.9,4017720.0,74.0,588.6000000000001
92.0,100203.0,269502.2,4017057.8,73.5,588.6000000000001
93.0,100203.0,269208.3,4016522.5,72.5,588.6000000000001
94.0,100203.0,269084.4,4016302.5,72.6,588.6000000000001
95.0,100203.0,268965.4,4016084.2,72.5,588.6000000000001
96.0,100203.0,268865.9,4015857.2,72.3,588.6000000000001
97.0,100203.0,268764.4,4015628.0,72.5,588.6000000000001
98.0,100203.0,268374.7,4014782.2,71.7,588.6000000000001
99.0,100203.0,268270.7,4014561.5,71.6,588.6000000000001
100.0,100203.0,268152.9,4014344.2,71.3,588.6000000000001
101.0,100203.0,268039.4,4014116.0,71.3,588.6000000000001
102.0,100203.0,267657.5,4013392.8,71.3,588.6000000000001
103.0,100203.0,267545.5,4013145.8,71.1,588.6000000000001
104.0,100203.0,267422.1,4012907.2,71.0,588.6000000000001
105.0,100203.0,267303.9,4012669.0,70.8,588.6000000000001
106.0,100203.0,266813.8,4011713.2,69.2,588.6000000000001
107.0,100203.0,266694.0,4011477.0,68.9,588.6000000000001
108.0,100203.0,266442.1,4011039.8,68.5,588.6000000000001
109.0,100203.0,266323.2,4010838.5,68.3,588.6000000000001
110.0,100203.0,265881.2,4010191.8,67.9,588.6000000000001
