wellid,from,to,resistivity
1.0,0.0,3.0,17.66
1.0,3.0,6.2,15.51
1.0,6.2,9.6,13.3
1.0,9.6,13.3,12.75
1.0,13.3,17.2,10.6
1.0,17.2,21.4,5.706
1.0,21.4,25.9,2.283
1.0,25.9,30.7,4.197
1.0,30.7,35.8,7.192
1.0,35.8,41.3,9.506
1.0,41.3,47.199999999999996,10.56
1.0,47.199999999999996,53.49999999999999,10.98
1.0,53.49999999999999,60.199999999999996,11.62
1.0,60.199999999999996,67.39999999999999,12.84
1.0,67.39999999999999,75.1,14.5
1.0,75.1,83.3,16.1
1.0,83.3,92.1,17.1
1.0,92.1,101.5,17.17
1.0,101.5,111.6,16.34
1.0,111.6,122.39999999999999,14.93
1.0,122.39999999999999,133.89999999999998,13.41
1.0,133.89999999999998,146.2,12.17
1.0,146.2,159.39999999999998,11.48
1.0,159.39999999999998,173.49999999999997,11.49
1.0,173.49999999999997,188.49999999999997,12.25
1.0,188.49999999999997,204.59999999999997,13.72
1.0,204.59999999999997,221.79999999999995,15.84
1.0,221.79999999999995,240.19999999999996,18.46
1.0,240.19999999999996,259.9,21.37
1.0,259.9,281.0,24.34
1.0,281.0,303.5,27.19
1.0,303.5,327.6,29.79
1.0,327.6,353.40000000000003,32.11
1.0,353.40000000000003,380.90000000000003,34.15
1.0,380.90000000000003,410.40000000000003,35.93
1.0,410.40000000000003,441.90000000000003,37.43
1.0,441.90000000000003,475.6,38.64
1.0,475.6,511.6,39.48
1.0,511.6,550.1,39.85
1.0,550.1,588.6,39.86
2.0,0.0,3.0,15.99
2.0,3.0,6.2,13.32
2.0,6.2,9.6,11.76
2.0,9.6,13.3,13.59
2.0,13.3,17.2,13.85
2.0,17.2,21.4,9.46
2.0,21.4,25.9,4.543
2.0,25.9,30.7,4.415
2.0,30.7,35.8,6.96
2.0,35.8,41.3,9.184
2.0,41.3,47.199999999999996,10.38
2.0,47.199999999999996,53.49999999999999,11.07
2.0,53.49999999999999,60.199999999999996,11.88
2.0,60.199999999999996,67.39999999999999,13.06
2.0,67.39999999999999,75.1,14.44
2.0,75.1,83.3,15.68
2.0,83.3,92.1,16.37
2.0,92.1,101.5,16.35
2.0,101.5,111.6,15.67
2.0,111.6,122.39999999999999,14.59
2.0,122.39999999999999,133.89999999999998,13.44
2.0,133.89999999999998,146.2,12.51
2.0,146.2,159.39999999999998,12.01
2.0,159.39999999999998,173.49999999999997,12.09
2.0,173.49999999999997,188.49999999999997,12.82
2.0,188.49999999999997,204.59999999999997,14.21
2.0,204.59999999999997,221.79999999999995,16.23
2.0,221.79999999999995,240.19999999999996,18.79
2.0,240.19999999999996,259.9,21.72
2.0,259.9,281.0,24.83
2.0,281.0,303.5,27.92
2.0,303.5,327.6,30.82
2.0,327.6,353.40000000000003,33.44
2.0,353.40000000000003,380.90000000000003,35.7
2.0,380.90000000000003,410.40000000000003,37.59
2.0,410.40000000000003,441.90000000000003,39.09
2.0,441.90000000000003,475.6,40.17
2.0,475.6,511.6,40.81
2.0,511.6,550.1,40.96
2.0,550.1,588.6,40.69
3.0,0.0,3.0,11.57
3.0,3.0,6.2,12.81
3.0,6.2,9.6,15.51
3.0,9.6,13.3,19.34
3.0,13.3,17.2,21.37
3.0,17.2,21.4,18.61
3.0,21.4,25.9,13.07
3.0,25.9,30.7,9.5
3.0,30.7,35.8,9.207
3.0,35.8,41.3,9.957
3.0,41.3,47.199999999999996,10.68
3.0,47.199999999999996,53.49999999999999,11.24
3.0,53.49999999999999,60.199999999999996,11.84
3.0,60.199999999999996,67.39999999999999,12.61
3.0,67.39999999999999,75.1,13.47
3.0,75.1,83.3,14.22
3.0,83.3,92.1,14.63
3.0,92.1,101.5,14.55
3.0,101.5,111.6,14.03
3.0,111.6,122.39999999999999,13.25
3.0,122.39999999999999,133.89999999999998,12.46
3.0,133.89999999999998,146.2,11.87
3.0,146.2,159.39999999999998,11.68
3.0,159.39999999999998,173.49999999999997,12.0
3.0,173.49999999999997,188.49999999999997,12.9
3.0,188.49999999999997,204.59999999999997,14.38
3.0,204.59999999999997,221.79999999999995,16.41
3.0,221.79999999999995,240.19999999999996,18.93
3.0,240.19999999999996,259.9,21.79
3.0,259.9,281.0,24.85
3.0,281.0,303.5,27.92
3.0,303.5,327.6,30.87
3.0,327.6,353.40000000000003,33.57
3.0,353.40000000000003,380.90000000000003,35.94
3.0,380.90000000000003,410.40000000000003,37.95
3.0,410.40000000000003,441.90000000000003,39.55
3.0,441.90000000000003,475.6,40.72
3.0,475.6,511.6,41.46
3.0,511.6,550.1,41.78
3.0,550.1,588.6,41.77
4.0,0.0,3.0,24.16
4.0,3.0,6.2,20.04
4.0,6.2,9.6,16.24
4.0,9.6,13.3,17.94
4.0,13.3,17.2,19.95
4.0,17.2,21.4,18.21
4.0,21.4,25.9,14.32
4.0,25.9,30.7,13.22
4.0,30.7,35.8,13.44
4.0,35.8,41.3,13.02
4.0,41.3,47.199999999999996,11.81
4.0,47.199999999999996,53.49999999999999,10.88
4.0,53.49999999999999,60.199999999999996,11.04
4.0,60.199999999999996,67.39999999999999,12.36
4.0,67.39999999999999,75.1,14.33
4.0,75.1,83.3,16.26
4.0,83.3,92.1,17.52
4.0,92.1,101.5,17.77
4.0,101.5,111.6,17.06
4.0,111.6,122.39999999999999,15.69
4.0,122.39999999999999,133.89999999999998,14.14
4.0,133.89999999999998,146.2,12.79
4.0,146.2,159.39999999999998,11.96
4.0,159.39999999999998,173.49999999999997,11.82
4.0,173.49999999999997,188.49999999999997,12.45
4.0,188.49999999999997,204.59999999999997,13.88
4.0,204.59999999999997,221.79999999999995,16.04
4.0,221.79999999999995,240.19999999999996,18.8
4.0,240.19999999999996,259.9,21.93
4.0,259.9,281.0,25.2
4.0,281.0,303.5,28.35
4.0,303.5,327.6,31.24
4.0,327.6,353.40000000000003,33.76
4.0,353.40000000000003,380.90000000000003,35.87
4.0,380.90000000000003,410.40000000000003,37.59
4.0,410.40000000000003,441.90000000000003,38.91
4.0,441.90000000000003,475.6,39.84
4.0,475.6,511.6,40.33
4.0,511.6,550.1,40.24
4.0,550.1,588.6,39.1
5.0,0.0,3.0,10.22
5.0,3.0,6.2,10.7
5.0,6.2,9.6,14.52
5.0,9.6,13.3,20.09
5.0,13.3,17.2,24.19
5.0,17.2,21.4,24.58
5.0,21.4,25.9,21.65
5.0,25.9,30.7,18.41
5.0,30.7,35.8,16.4
5.0,35.8,41.3,15.83
5.0,41.3,47.199999999999996,14.95
5.0,47.199999999999996,53.49999999999999,13.88
5.0,53.49999999999999,60.199999999999996,13.53
5.0,60.199999999999996,67.39999999999999,14.46
5.0,67.39999999999999,75.1,16.49
5.0,75.1,83.3,18.87
5.0,83.3,92.1,20.63
5.0,92.1,101.5,20.97
5.0,101.5,111.6,20.07
5.0,111.6,122.39999999999999,18.13
5.0,122.39999999999999,133.89999999999998,15.76
5.0,133.89999999999998,146.2,13.57
5.0,146.2,159.39999999999998,11.97
5.0,159.39999999999998,173.49999999999997,11.17
5.0,173.49999999999997,188.49999999999997,11.25
5.0,188.49999999999997,204.59999999999997,12.23
5.0,204.59999999999997,221.79999999999995,14.02
5.0,221.79999999999995,240.19999999999996,16.42
5.0,240.19999999999996,259.9,19.16
5.0,259.9,281.0,21.98
5.0,281.0,303.5,24.69
5.0,303.5,327.6,27.2
5.0,327.6,353.40000000000003,29.52
5.0,353.40000000000003,380.90000000000003,31.66
5.0,380.90000000000003,410.40000000000003,33.65
5.0,410.40000000000003,441.90000000000003,35.49
5.0,441.90000000000003,475.6,37.13
5.0,475.6,511.6,38.49
5.0,511.6,550.1,39.5
5.0,550.1,588.6,40.36
6.0,0.0,3.0,12.44
6.0,3.0,6.2,11.55
6.0,6.2,9.6,11.59
6.0,9.6,13.3,14.35
6.0,13.3,17.2,19.44
6.0,17.2,21.4,24.28
6.0,21.4,25.9,26.14
6.0,25.9,30.7,24.6
6.0,30.7,35.8,21.38
6.0,35.8,41.3,17.95
6.0,41.3,47.199999999999996,14.77
6.0,47.199999999999996,53.49999999999999,12.65
6.0,53.49999999999999,60.199999999999996,12.4
6.0,60.199999999999996,67.39999999999999,14.17
6.0,67.39999999999999,75.1,17.39
6.0,75.1,83.3,20.8
